source,product_id,name,brand,category,size_text,price_nis,unit_price_text,bulk_price_text,saving_text,badges,product_url,image_url,in_stock,raw_text,scraped_at
hahishook,517266,חמוציות מיובשות,,מומלצים,500 גרם,16.4,,401.80 ל-25 יחידות (‎,,[],https://hahishook.com/product/%d7%97%d7%9e%d7%95%d7%a6%d7%99%d7%95%d7%aa-%d7%9e%d7%99%d7%95%d7%91%d7%a9%d7%95%d7%aa-500/,https://hahishook.com/wp-content/uploads/2026/03/7290020701046-%D7%97%D7%9E%D7%95%D7%A6%D7%99%D7%95%D7%AA-%D7%91%D7%A8%D7%9B%D7%96-%D7%AA%D7%A4%D7%95%D7%97%D7%99%D7%9D-500-%D7%92%D7%A8%D7%9D-324x324.jpg,True,"🤍 ‎49.93‎₪ חסכון איך חישבנו? ראו פה ‎1256.45‎₪ חסכון איך חישבנו? ראו פה + כמות של חמוציות מיובשות – הוספה‎ לסל חמוציות מיובשות חצויות ברכז תפוחים, 500 גרם ₪ 16.40 ‏3.28‏₪ /100 ג' ₪ 401.80 ל-25 יחידות (‎-2%)",2026-06-28T19:34:46.516801+00:00
hahishook,,חמוציות מיובשות,,מומלצים,,,,,,[],,,True,חמוציות מיובשות,2026-06-28T19:34:46.519485+00:00
hahishook,50337,שקד מולבן שלם,,מומלצים,500 גרם 29.2‏,29.2,,,,[],https://hahishook.com/product/%d7%a9%d7%a7%d7%93-%d7%9e%d7%95%d7%9c%d7%91%d7%9f-%d7%a9%d7%9c%d7%9d-2/,https://hahishook.com/wp-content/uploads/2023/12/netural-nuts_0000_%D7%A9%D7%A7%D7%93-%D7%9E%D7%95%D7%9C%D7%91%D7%9F-%D7%A9%D7%9C%D7%9D-324x324.jpg,True,🤍 ‎45.8‎₪ חסכון איך חישבנו? ראו פה + כמות של שקד מולבן שלם – הוספת 500 ג' שקד מולבן שלם 500 גרם 29.2‏₪ 5.84‏₪ /100 ג',2026-06-28T19:34:46.525540+00:00
hahishook,,שקד מולבן שלם,,מומלצים,,,,,,[],,,True,שקד מולבן שלם,2026-06-28T19:34:46.525540+00:00
hahishook,347591,שמן קוקוס,,מומלצים,1 ליטר,44.0,,344.96 ל-8 יחידות (‎,,[],https://hahishook.com/product/%d7%a9%d7%9e%d7%9f-%d7%a7%d7%95%d7%a7%d7%95%d7%a1/,https://hahishook.com/wp-content/uploads/2025/11/IMG_08052-324x324.jpg,True,"🤍 ‎39.74‎₪ חסכון איך חישבנו? ראו פה ‎324.96‎₪ חסכון איך חישבנו? ראו פה + כמות של שמן קוקוס – הוספה‎ לסל שמן קוקוס לא מזוכך, 1 ליטר ₪ 44.00 ‏4.4‏₪ /100 מ""ל ₪ 344.96 ל-8 יחידות (‎-2%)",2026-06-28T19:34:46.531155+00:00
hahishook,,שמן קוקוס,,מומלצים,,,,,,[],,,True,שמן קוקוס,2026-06-28T19:34:46.533965+00:00
hahishook,517324,אגוז פקאן ממות,,מומלצים,"400 גרם, טבעי",31.1,,761.95 ל-25 יחידות (‎,,[],https://hahishook.com/product/%d7%90%d7%92%d7%95%d7%96-%d7%a4%d7%a7%d7%90%d7%9f-%d7%9e%d7%9e%d7%95%d7%aa/,https://hahishook.com/wp-content/uploads/2026/03/7290020701022-%D7%90%D7%92%D7%95%D7%96-%D7%A4%D7%A7%D7%90%D7%9F-400-%D7%92%D7%A8%D7%9D-324x324.jpg,True,"🤍 ‎31.74‎₪ חסכון איך חישבנו? ראו פה ‎809.05‎₪ חסכון איך חישבנו? ראו פה + כמות של אגוז פקאן ממות – הוספה‎ לסל אגוז פקאן ממות 400 גרם, טבעי ₪ 31.10 ‏7.78‏₪ /100 ג' ₪ 761.95 ל-25 יחידות (‎-2%)",2026-06-28T19:34:46.539686+00:00
hahishook,,אגוז פקאן ממות,,מומלצים,,,,,,[],,,True,אגוז פקאן ממות,2026-06-28T19:34:46.541701+00:00
hahishook,24822,פקאן טבעי מזן פאוני,,מומלצים,500 גרם 42.8‏,42.8,,,,[],https://hahishook.com/product/%d7%a4%d7%a7%d7%90%d7%9f-%d7%98%d7%91%d7%a2%d7%99-%d7%a4%d7%90%d7%95%d7%a0%d7%99/,https://hahishook.com/wp-content/uploads/2023/04/%D7%A4%D7%A7%D7%90%D7%9F-%D7%A4%D7%90%D7%95%D7%A0%D7%99-smaller.png,True,🤍 ‎25.96‎₪ חסכון איך חישבנו? ראו פה + כמות של פקאן טבעי מזן פאוני – הוספת 500 ג' פקאן טבעי מזן פאוני 500 גרם 42.8‏₪ 8.56‏₪ /100 ג',2026-06-28T19:34:46.547596+00:00
hahishook,,פקאן טבעי מזן פאוני,,מומלצים,,,,,,[],,,True,פקאן טבעי מזן פאוני,2026-06-28T19:34:46.547596+00:00
hahishook,62687,אגוז מלך טבעי שבור,,מומלצים,"500 גרם, צ'אנדלר 16.5‏",16.5,,,,[],https://hahishook.com/product/%d7%90%d7%92%d7%95%d7%96-%d7%9e%d7%9c%d7%9a-%d7%98%d7%91%d7%a2%d7%99-%d7%a9%d7%91%d7%95%d7%a8/,https://hahishook.com/wp-content/uploads/2023/04/%D7%A9%D7%91%D7%95%D7%A8%D7%99%D7%9D-smaller-317x324.png,True,"🤍 ‎24.67‎₪ חסכון איך חישבנו? ראו פה + כמות של אגוז מלך טבעי שבור – הוספת 500 ג' אגוז מלך טבעי שבור 500 גרם, צ'אנדלר 16.5‏₪ ‏3.3‏₪ /100 ג'",2026-06-28T19:34:46.552000+00:00
hahishook,,אגוז מלך טבעי שבור,,מומלצים,,,,,,[],,,True,אגוז מלך טבעי שבור,2026-06-28T19:34:46.554102+00:00
hahishook,251406,חיתולים בייביסיטר מידה 6,,מומלצים,5 יחידות (‎-2%),25.8,,126.42 ל-5 יחידות (‎,,[],https://hahishook.com/product/%d7%97%d7%99%d7%aa%d7%95%d7%9c%d7%99%d7%9d-%d7%91%d7%99%d7%99%d7%91%d7%99%d7%a1%d7%99%d7%98%d7%a8-%d7%9e%d7%99%d7%93%d7%94-6/,https://hahishook.com/wp-content/uploads/2025/07/H_7290017088099-324x324.jpg,True,"🤍 ‎23.29‎₪ חסכון איך חישבנו? ראו פה ‎119.03‎₪ חסכון איך חישבנו? ראו פה + כמות של חיתולים בייביסיטר מידה 6 – הוספה‎ לסל חיתולים בייביסיטר מידה 6 מידה 16+ קילו, 30 חיתולים ₪ 25.80 ‏86‏אג'/יח' ₪ 126.42 ל-5 יחידות (‎-2%)",2026-06-28T19:34:46.558648+00:00
hahishook,,חיתולים בייביסיטר מידה 6,,מומלצים,,6.0,,,,[],,,True,חיתולים בייביסיטר מידה 6,2026-06-28T19:34:46.560666+00:00
hahishook,24826,אגוז קשיו טבעי,,מומלצים,500 גרם 22‏,22.0,,,,[],https://hahishook.com/product/%d7%a7%d7%a9%d7%99%d7%95-%d7%98%d7%91%d7%a2%d7%99-%d7%95%d7%99%d7%98%d7%a0%d7%90%d7%9d/,https://hahishook.com/wp-content/uploads/2022/12/30381201213_b66d8a6951_o-324x324.jpg,True,🤍 ‎22.5‎₪ חסכון איך חישבנו? ראו פה + כמות של אגוז קשיו טבעי – הוספת 500 ג' אגוז קשיו טבעי 500 גרם 22‏₪ 4.4‏₪ /100 ג',2026-06-28T19:34:46.566819+00:00
hahishook,,אגוז קשיו טבעי,,מומלצים,,,,,,[],,,True,אגוז קשיו טבעי,2026-06-28T19:34:46.568836+00:00
hahishook,517214,גרעיני דלעת קלופים,,מומלצים,"500 גרם, טבעי",10.6,,259.70 ל-25 יחידות (‎,,[],https://hahishook.com/product/%d7%92%d7%a8%d7%a2%d7%99%d7%a0%d7%99-%d7%93%d7%9c%d7%a2%d7%aa-%d7%a7%d7%9c%d7%95%d7%a4%d7%94-500/,https://hahishook.com/wp-content/uploads/2026/03/7290020701077-%D7%92%D7%A8%D7%A2%D7%99%D7%A0%D7%99-%D7%93%D7%9C%D7%A2%D7%AA-%D7%A7%D7%9C%D7%95%D7%A4%D7%99%D7%9D-500-%D7%92%D7%A8%D7%9D-324x324.jpg,True,"🤍 ‎21.04‎₪ חסכון איך חישבנו? ראו פה ‎531.3‎₪ חסכון איך חישבנו? ראו פה + כמות של גרעיני דלעת קלופים – הוספה‎ לסל גרעיני דלעת קלופים 500 גרם, טבעי ₪ 10.60 ‏2.12‏₪ /100 ג' ₪ 259.70 ל-25 יחידות (‎-2%)",2026-06-28T19:34:46.574866+00:00
hahishook,,גרעיני דלעת קלופים,,מומלצים,,,,,,[],,,True,גרעיני דלעת קלופים,2026-06-28T19:34:46.576888+00:00
hahishook,517321,שקד טבעי,,מומלצים,"500 גרם, טבעי",25.6,,627.20 ל-25 יחידות (‎,,[],https://hahishook.com/product/%d7%a9%d7%a7%d7%93-%d7%98%d7%91%d7%a2%d7%99-500/,https://hahishook.com/wp-content/uploads/2026/03/7290020701039-%D7%A9%D7%A7%D7%93-%D7%98%D7%91%D7%A2%D7%99-500-%D7%92%D7%A8%D7%9D-324x324.jpg,True,"🤍 ‎20.9‎₪ חסכון איך חישבנו? ראו פה ‎535.3‎₪ חסכון איך חישבנו? ראו פה + כמות של שקד טבעי – הוספה‎ לסל שקד טבעי 500 גרם, טבעי ₪ 25.60 ‏5.12‏₪ /100 ג' ₪ 627.20 ל-25 יחידות (‎-2%)",2026-06-28T19:34:46.584654+00:00
